,,,,"  Table 1. Revised Estimates of Florida Population by County, 2010–2020",  ,,,,,,,,,,,,,,
, Census                                                                                                                           Estimate                                                                                                                                       Census,,,,,,,,,,,,,,,,,,
,     2010                   2011                   2012                   2013                   2014                   2015                   2016                   2017                   2018                   2019                   2020,,,,,,,,,,,,,,,,,,
FLORIDA,"18,801,332","18,949,860","18,949,860","19,134,956","19,134,956","19,337,590","19,337,590","19,585,096","19,585,096","19,879,230","19,879,230","20,201,450","20,201,450","20,524,865","20,524,865","20,854,945","20,854,945","21,189,849","21,538,187"
Alachua,"247,336","248,872","248,872","249,988","249,988","252,191","252,191","255,419","255,419","259,541","259,541","262,746","262,746","266,327","266,327","270,095","270,095","274,242","278,468"
Baker,"27,115","26,970","26,970","26,994","26,994","26,962","26,962","27,014","27,014","27,069","27,069","27,161","27,161","27,353","27,353","27,627","27,627","28,082","28,259"
Bay,"168,852","169,258","169,258","169,595","169,595","170,255","170,255","171,273","171,273","173,258","173,258","175,275","175,275","177,319","177,319","179,208","179,208","171,359","175,216"
Bradford,"28,520","28,624","28,624","27,219","27,219","27,115","27,115","27,104","27,104","27,116","27,116","27,156","27,156","27,304","27,304","27,779","27,779","28,261","28,303"
Brevard,"543,376","546,257","546,257","548,180","548,180","551,934","551,934","556,558","556,558","564,489","564,489","571,976","571,976","579,178","579,178","587,170","587,170","596,449","606,612"
Broward,"1,748,066","1,759,697","1,759,697","1,778,058","1,778,058","1,794,169","1,794,169","1,813,871","1,813,871","1,836,674","1,836,674","1,862,206","1,862,206","1,884,005","1,884,005","1,907,024","1,907,024","1,928,342","1,944,375"
Calhoun,"14,625","14,604","14,604","14,495","14,495","14,389","14,389","14,281","14,281","14,134","14,134","14,053","14,053","14,227","14,227","14,204","14,204","13,455","13,648"
Charlotte,"159,978","160,533","160,533","163,119","163,119","164,112","164,112","165,551","165,551","168,246","168,246","171,578","171,578","174,163","174,163","178,251","178,251","181,708","186,847"
Citrus,"141,236","141,495","141,495","141,841","141,841","142,240","142,240","142,996","142,996","144,188","144,188","146,037","146,037","147,486","147,486","149,551","149,551","151,746","153,843"
Clay,"190,865","191,876","191,876","193,276","193,276","194,665","194,665","198,218","198,218","201,505","201,505","205,101","205,101","208,343","208,343","211,599","211,599","214,597","218,245"
Collier,"321,520","323,739","323,739","327,972","327,972","331,380","331,380","334,816","334,816","340,785","340,785","346,890","346,890","353,149","353,149","360,455","360,455","367,578","375,752"
Columbia,"67,531","67,529","67,529","67,766","67,766","67,554","67,554","67,791","67,791","68,021","68,021","68,304","68,304","68,579","68,579","69,120","69,120","69,739","69,698"
DeSoto,"34,862","34,505","34,505","34,057","34,057","33,809","33,809","33,640","33,640","33,609","33,609","33,643","33,643","33,768","33,768","33,417","33,417","33,604","33,976"
Dixie,"16,422","16,385","16,385","16,322","16,322","16,291","16,291","16,329","16,329","16,500","16,500","16,742","16,742","16,718","16,718","16,615","16,615","16,697","16,759"
